Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
1/8/2018 9:42 AM,5800 S Woodlawn,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
1/8/2018 11:46 AM,4700 S Cottage Grove,African American,Female,Moving Violation - Other,Failure to yield to authorized emergency vehicle,N/A,Verbal Warning,No
1/8/2018 4:53 PM,5600 S Dorchester,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/8/2018 9:38 PM,5300 S Kenwood,African American,Male,Traffic sign/signal,Ran stop sign,Two citations issued,Citation issued,No
1/8/2018 10:59 PM,1457 E 53rd,African American,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/8/2018 11:14 PM,5400 S Woodlawn,African American,Male,Traffic sign/signal,Ran red light,Two citations issued,Citation Issued,No
1/9/2018 7:27 AM,5700 S Ellis,African American,Female,Lane Violation,Improper overtaking,N/A,Verbal Warning,No
1/9/2018 9:23 AM,6000 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/9/2018 11:53 AM,1000 E Midway Plaisance,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/9/2018 12:11 PM,5500 S Lake Park,Caucasian,Male,Lane Violation,Wrong way on a one way street,N/A,Verbal Warning,No
1/9/2018 1:01 PM,5700 S Stony Island,African American,Male,Lane Violation,Improper passing,N/A,Verbal Warning,No
1/9/2018 2:43 PM,800 E Midway Plaisance,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/9/2018 8:50 PM,5300 S Harper,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
1/9/2018 10:46 PM,5400 S Lake Park,Asian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/9/2018 11:32 PM,5500 S Greenwood,Caucasian,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/10/2018 9:12 PM,5400 Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/10/2018 10:15 PM,5501 S Cottage Grove,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/11/2018 3:10 PM,1460 E. 55th Street,African American,Female,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No
1/11/2018 5:27 PM,6000 S. Dorchester,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
1/11/2018 8:49 PM,5100 S. Woodlawn,African American,Female,Moving Violation - Other,Wrong way on one way street,N/A,Verbal Warning,No
1/11/2018 8:59 PM,5700 S. Stony Island,Caucasian,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
1/11/2018 10:51 PM,5900 S. Ellis,Caucasian,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/12/2018 12:31 AM,5100 S. Cottage Grove,African American,Female,Moving Violation - Other,Driving without headlights,N/A,Verbal Warning,No
1/12/2018 3:09 AM,5500 S. Greenwood,African American,Female,Moving Violation - Other,Driving without headlights,N/A,Verbal Warning,No
1/12/2018 12:22 PM,4700 S Cornell,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/12/2018 12:42 PM,5900 S Woodlawn,African American,Male,Speed,Speeding,N/A,Verbal Warning,No
1/12/2018 2:43 PM,5300 S Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/12/2018 3:05 PM,5900 S Midway Plaisance,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
1/12/2018 3:49 PM,5900 S Midway Plaisance,African American,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/12/2018 3:55 PM,4900 S Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/12/2018 4:49 PM,6400 S Cottage Grove,African American,Male,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No
1/12/2018 4:50 PM,5500 S Blackstone,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
1/12/2018 5:42 PM,5300 S Ellis,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/12/2018 5:44 PM,5800 S University,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/12/2018 7:34 PM,5500 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1/12/2018 8:25 PM,5300 S Kimbark,African American,Female,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
1/13/2018 8:18 AM,5800 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/13/2018 9:57 AM,5100 S Blackstone,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/13/2018 10:19 AM,1400 E Midway Plaisance,African American,Female,Speed,Speeding,One citation issued,Citation issued,No
1/13/2018 11:24 AM,1332 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
1/13/2018 11:43 AM,1600 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
1/13/2018 12:19 PM,6000 S Cornell,African American,Male,Speed,Speeding,One citation issued,Citation issued,No
1/13/2018 1:13 PM,5100 S Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/13/2018 1:45 PM,4300 S Drexel,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/13/2018 3:16 PM,1400 E Midway Plaisance,African American,Female,Speed,Speeding,One citation issued,Citation issued,No
1/13/2018 3:19 PM,1501 E Midway Plaisance,African American,Female,Speed,Speeding,Two citations issued,Citation issued,No
1/13/2018 3:59 PM,5800 S Stony Island,African American,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/13/2018 4:14 PM,6000 S Stony Island,African American,Female,License plate/registration,No valid registration,N/A,Verbal Warning,No
1/13/2018 4:52 PM,5500 S Lake Park,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/13/2018 5:04 PM,5500 S Woodlawn,Hispanic,Male,Equipment,Driving without headlights,N/A,Verbal Warning,No
1/13/2018 8:41 PM,1226 E 53rd,African American,Male,License plate/registration,Expired registration,Two citations issued,Citation issued,No
1/13/2018 10:22 PM,5700 S University,Hispanic,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/13/2018 10:47 PM,1324 S University,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/14/2018 1:21 AM,5425 S Lake Park,African American,Female,Lane Violation,Improper U-turn,N/A,Verbal Warning,No
1/14/2018 1:55 AM,5600 S Stony Island,African American,Male,Speed,Speeding,N/A,Verbal Warning,No
1/14/2018 2:19 AM,5300 S Blackstone,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/14/2018 12:33 PM,5118 S Blackstone,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/14/2018 1:54 PM,5900 S Ellis ,Asian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/14/2018 4:33 PM,1400 E Midway Plaisance,African American,Female,Speed,Driving too fast for conditions,N/A,Verbal Warning,No
1/14/2018 5:50 PM,1362 E 59th,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/14/2018 10:28 PM,5700 S University,African American,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/15/2018 1:13 AM,5500 S Drexel,Caucasian,Male,Equipment,Driving without headlights,N/A,Verbal Warning,No
1/15/2018 1:15 AM,5400 S Drexel ,African American,Female,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1/15/2018 2:19 AM,4818 S Cornell,African American,Male,Lane Violation,Improper lane change,N/A,Verbal Warning,No
1/15/2018 11:07 AM,1506 E 53rd,African American,Male,Moving Violation - Other,Using cell phone while driving,N/A,Verbal Warning,No
1/15/2018 3:52 PM,5100 S Kenwood,African American,Male,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
1/15/2018 6:03 PM,Dorchester and Midway Plaisance,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/15/2018 10:01 PM,Cottage Grove and Midway Plaisance,African American,Male,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/16/2018 12:14 AM,5701 Cottage Grove,Hispanic,Male,Equipment,No rear registration plate light,N/A,Verbal Warning,No
1/16/2018 1:06 PM,5737 S University,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
1/16/2018 8:01 PM,5700 Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/17/2018 11:49 AM,4800 S Drexel,African American,Male,Traffic Sign/Signal,Disobeying traffic control device,N/A,Verbal Warning,No
1/17/2018 12:34 PM,1362  Hyde Park Blvd,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/17/2018 10:05 PM,5400 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1/18/2018 11:49 AM,5900 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/18/2018 11:53 AM,900 E Midway Plaisance,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/18/2018 1:56 PM,5900 S Dorchester,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/18/2018 3:36 PM,1332 E Midway Plaisance,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
1/18/2018 11:14 PM,5317 S Maryland,Caucasian,Male,Lane Violation,Wrong way on one way road,"Arrested on warrant, one citation issued",Citation issued,Yes
1/20/2018 12:22 AM,5500 S. Cottage Grove,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,Two citations issued,Citation issued,No
1/20/2018 9:44 AM,6300 S. Woodlawn,African American,Male,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/20/2018 10:55 AM,5800 S. University,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
1/20/2018 2:03 PM,1120 E. 53rd Street,African American,Male,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/20/2018 5:08 PM,"6100 S, Woodlawn",Asian,Female,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/20/2018 7:52 PM,4800 S. Kenwood,African American,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/20/2018 8:07 PM,5700 S. University,African American,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/20/2018 8:28 PM,4700 S. Drexel,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/20/2018 9:17 PM,5500 S. Kimbark,African American,Female,Lane Violation,Failure to signal,N/A,Verbal Warning,No
1/20/2018 11:01 PM,4900 S. Kimbark,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/21/2018 11:45 PM,1000 E. Midway Plaisance,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,Two citations issued,Citation issued,No
1/22/2018 9:02 AM,1400 E Midway Plaisance,Asian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/22/2018 10:05 AM,5200 S Lake Park,Caucasian,Female,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
1/22/2018 8:45 PM,5300 S Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1/23/2018 8:40 AM,5900 S Ellis ,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/23/2018 1:23 PM,1006 E 54th,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/23/2018 4:25 PM,4100 S Ellis,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/23/2018 5:27 PM,5500 S University,Hispanic,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
1/23/2018 9:28 PM,1056 E 55th,African American,Male,Equipment,No headlights when required,N/A,Verbal Warning,No
1/23/2018 10:21 PM,5100 S Dorchester,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/23/2018 10:39 PM,5500 S Dorchester,African American,Male,License plate/registration,Expired registration,N/A,Verbal Warning,No
1/24/2018 2:22 PM,5500 S Cottage Grove,Hispanic,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/24/2018 8:24 PM,5300 Ingleside,African American,Male,Equipment,Driving without headlights,N/A,Verbal Warning,No
1/25/2018 12:53 AM,4700 Greenwood,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/25/2018 1:20 AM,5400 Woodlawn,African American,Female,Equipment,Driving without headlights,N/A,Verbal Warning,No
1/25/2018 8:19 PM,Midway Plaisance at Dorchester,African American,Female,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/25/2018 9:23 PM,5700 Maryland,Native Hawaiian/Other Pacific Islander,Male,Lane Violation,Improper turn,N/A,Verbal Warning,No
1/26/2018 1:35 AM,5500 Cottage Grove,African American,Male,Equipment,No headlights when required,One citation issued,Citation issued,No
1/26/2018 3:17 PM,5100 S Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/26/2018 4:57 PM,6100 S Kimbark,Caucasian,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/26/2018 7:50 PM,5100 S Cornell,African American,Female,Traffic sign/signal,Ran red light,Two citations issued,Citation issued,No
1/26/2018 11:08 PM,5300 S Ingleside,African American,Male,Equipment,Missing tail light,Two citations issued,Citation issued,No
1/28/2018 9:58 AM,5700 S Payne,Hispanic,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/28/2018 2:25 PM,5500 S Cottage Grove,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/28/2018 4:24 PM,5700 S Cottage Grove,Caucasian,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
1/28/2018 8:00 PM,5300 S Harper,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
1/29/2018 8:16 AM,5213 S Woodlawn,African American,Male,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
1/29/2018 9:24 AM,1442 E 56th,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
1/29/2018 10:39 AM,5300 S Greenwood,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
1/29/2018 6:33 PM,5300 Greenwood,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/29/2018 8:44 PM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1/29/2018 9:24 PM,5100 Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/29/2018 10:37 PM,5500 University,African American,Male,Equipment,Driving without headlights when required,N/A,Verbal Warning,No
1/29/2018 11:03 PM,5500 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
1/30/2018 9:06 PM,5600 Drexel,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/30/2018 10:24 PM,5600 Kenwood,Hispanic,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
1/31/2018 4:23 PM,5600 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/31/2018 9:35 PM,5300 S Ingleside,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/18/2018 5:13 AM,5300 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
2/1/2018 9:54 AM,5500 S University,African American,Female,Lane Violation,Improper passing,N/A,Verbal Warning,No
2/1/2018 10:29 AM,5700 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/1/2018 4:12 PM,5600 S Dorchester,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/1/2018 5:08 PM,5000 S Lake Park,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
2/1/2018 10:09 PM,5600 S University,Caucasian,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/2/2018 10:32 AM,5300 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/2/2018 1:57 PM,6300 S Ellis,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/2/2018 8:18 PM,5700 S Kenwood,African American,Male,Equipment,Driving without headlights,N/A,Verbal Warning,No
2/3/2018 8:54 AM,1017 E 51st,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/3/2018 9:27 AM,5500 S Lake Park,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/3/2018 10:38 AM,5326 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,Yes
2/3/2018 11:45 AM,1326 E 63rd,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/3/2018 1:54 PM,5300 S University,Hispanic,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/3/2018 5:56 PM,5100 Hyde Park Blvd,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/4/2018 11:36 AM,5300 S Ellis,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/4/2018 5:00 PM,5300 S Harper,Asian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/5/2018 11:12 AM,5300 S University,Caucasian,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
2/5/2018 2:30 PM,5500 S Ingleside,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
2/6/2018 6:15 AM,1219 E 53rd,African American,Male,Traffic Sign/Signal,Disobeying traffic control device,Two citations issued,Citation issued,No
2/6/2018 9:07 AM,6300 S Cottage Grove,African American,Female,Lane Violation,Improper passing,One citation issued,Citation issued,No
2/6/2018 10:31 AM,5900 S Ellis ,Asian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/6/2018 10:59 AM,5200 Payne Drive,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/6/2018 6:50 PM,5700 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/6/2018 11:54 PM,5300 S Greenwood,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
2/7/2018 8:18 PM,1010 E 63rd,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/8/2018 2:01 AM,5300 Cornell,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/8/2018 11:36 AM,5035 S Lake Shore Dr.,Caucasian,Male,Moving Violation - Other,Using cell phone while driving,N/A,Verbal Warning,No
2/8/2018 1:59 PM,Midway Plaisance and Cornell,Native Hawaiian/Other Pacific Islander,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/8/2018 11:56 PM,5500 S Dorchester,Asian,Female,Traffic sign/signal,Disobeyed no turn on red sign,N/A,Verbal Warning,No
2/9/2018 6:04 PM,5100 S Kenwood,Caucasian,Male,Traffic sign/signal,Ran red light,N/A,Verbal Warning,No
2/10/2018 10:34 AM,5500 S Cottage Grove,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/11/2018 10:58 AM,5500 S Woodlawn,Caucasian,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/12/2018 11:52 AM,5737 S University,Caucasian,Male,Lane Violation,Wrong way on one way road,One citation issued,Citation issued,No
2/12/2018 11:56 AM,5000 S Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/12/2018 12:40 PM,1116 E 59th,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/12/2018 1:00 PM,5300 S Berkeley,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/12/2018 2:56 PM,1709 E 53rd,Caucasian,Female,Moving Violation - Other,Using cell phone while driving,N/A,Verbal Warning,No
2/12/2018 3:11 PM,5000 S Lake Park,Hispanic,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/13/2018 7:37 AM,5500 S Drexel,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/13/2018 2:08 PM,4045 S Lake Park,African American,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/13/2018 2:45 PM,4001 S Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/13/2018 3:05 PM,4071 S Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/13/2018 4:11 PM,5500 S Hyde Park,African American,Male,License plate/registration,Expired registration,N/A,Verbal Warning,No
2/13/2018 10:19 PM,5400 S Ingleside,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
2/14/2018 1:28 PM,5730 S Stony Island,African American,Male,Lane Violation,Improper passing,N/A,Verbal Warning,No
2/14/2018 2:25 PM,5500 S Kimbark,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/14/2018 3:55 PM,6300 S Cottage Grove,African American,Male,Lane Violation,Improper left turn,N/A,Verbal Warning,No
2/14/2018 4:45 PM,5100 S Shore Dr,African American,Male,Equipment,Excessive muffler noise,N/A,Verbal Warning,No
2/14/2018 7:44 PM,4800 S Drexel,African American,Male,Lane Violation,Right turn in front of CTA bus,N/A,Verbal Warning,No
2/15/2018 6:33 AM,5900 S Maryland,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/15/2018 12:08 PM,5400 S Lake Park,Caucasian,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/15/2018 10:19 PM,1300 E 51st,African American,Male,Equipment,Missing tail light,N/A,Verbal Warning,No
2/16/2018 9:23 AM,1017 E. 55th Street,Hispanic,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/16/2018 12:03 PM,5200 S. Lake Park,Caucasian,Female,Traffic sign/signal,Disobeyed Stop Sign,Two citations issued,Citation issued,No
2/16/2018 12:47 PM,5760 S. Kenwood,Hispanic,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
2/16/2018 1:35 PM,5600 S. Woodlawn,Caucasian,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/16/2018 5:03 PM,4700 S. Drexel,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
2/16/2018 5:21 PM,Midway Plaisance/Woodlawn,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
2/17/2018 12:08 PM,1125 E. 55th Street,African American,Male,License plate/registration,Invalid registration,N/A,Verbal Warning,No
2/17/2018 4:16 PM,5726 S. University,Asian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
2/17/2018 4:24 PM,Midway Plaisance/Ellis,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
2/17/2018 8:27 PM,1417 E. 55th Street,Asian,Male,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
2/18/2018 8:55 AM,1215 E. 53rd Street,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,One citation issued,Citation issued,No
2/18/2018 8:59 AM,6200 S. Stony Island,African American,Female,Traffic sign/signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
2/18/2018 12:02 PM,5300 S. Woodlawn,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
2/18/2018 2:52 PM,Midway Plaisance/Stony Island,African American,Female,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/18/2018 4:23 PM,5400 S. University,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,Yes
2/18/2018 11:42 PM,5100 S. Dorchester,Asian,Female,Traffic sign/signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
2/19/2018 1:05 AM,5600 S. Stony Island,African American,Female,License plate/registration,No rear license plate,N/A,Verbal Warning,No
2/19/2018 10:00 AM,5100 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/19/2018 2:07 PM,5300 S University,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/19/2018 2:09 PM,6328 S Cottage Grove,Hispanic,Female,Lane Violation,Improper turn,N/A,Verbal Warning,No
2/19/2018 8:10 PM,5527 S Cornell,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/19/2018 8:55 PM,5200 S Woodlawn,African American,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/20/2018 8:39 AM,6000 S Woodlawn,African American,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/20/2018 12:20 PM,5500 S Lake Park,African American,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/20/2018 4:37 PM,6000 S Drexel,Caucasian,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
2/20/2018 9:05 PM,5255 S University,Asian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/21/2018 12:59 AM,6000 S Ellis,American Indian/Alaskan Native,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/21/2018 4:25 PM,5757 S University,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/21/2018 7:49 PM,5100 Kimbark,Hispanic,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/22/2018 1:36 AM,5700 Drexel,African American,Female,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/22/2018 11:51 AM,6200 S Ellis,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/22/2018 3:41 PM,4508 S Drexel,African American,Female,License plate/registration,Expired registration,Two citations issued,Citation issued,No
2/22/2018 4:14 PM,5900 S Ellis ,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/23/2018 8:27 AM,6000 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/23/2018 9:07 AM,5500 S Ellis,African American,Female,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/23/2018 9:19 AM,5228 S Lake Park,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
2/23/2018 4:31 PM,4700 S Drexel,African American,Male,Traffic sign/signal,Ran stop sign,N/A,Verbal Warning,No
2/23/2018 4:35 PM,6300 S University,African American,Male,Traffic sign/signal,Disobeyed traffic control device,N/A,Verbal Warning,No
